title,category,integration_status,soroban,github_url,total_awarded_usd
Boundless,Applications,Development,True,https://github.com/boundlessfi/,110000.0
Lobster,Financial Protocols,Mainnet,True,https://github.com/Lobster-Protocol,109000.0
Stellar AI Agent Kit,Developer Tooling,Development,True,https://github.com/JoseCToscano/stellar-mcp,108000.0
SendIN,Applications,Mainnet,False,https://github.com/SendIN-Org/sendIN,104500.0
Bevor,Developer Tooling,Development,False,https://github.com/Bevor-Protocol,102000.0
Logistech,Applications,Mainnet,False,https://github.com/beans-bv,101120.0
Satellite + We Work Out,Developer Tooling,Development,True,https://github.com/SpaceboatDVLP/hello-soroban/tree/master/src,100210.0
Ripe,Applications,Mainnet,False,https://github.com/ripe-money,100000.0
PayZoll,Applications,Mainnet,True,https://github.com/PayZoll-Orgs,100000.0
ChainPatrol,Infrastructure & Services,Mainnet,False,https://github.com/chainpatrol,100000.0
reBlue: Securing Austere Supply Chains,Infrastructure & Services,Development,True,https://github.com/rebluedev,100000.0
Venerez,Financial Protocols,Development,True,https://github.com/VenerezHugo,99675.0
SubQuery Network,Infrastructure & Services,Mainnet,True,https://github.com/subquery/subql-stellar,98640.0
